algorithm,benchmark,hash_function,init_nodes,iterations,mean,var,stddev
anchor,balance,crc32,10,10,2.6,0.24,0.489898
anchor,balance,crc32,100,10,3.9,0.49,0.7
anchor,balance,crc32,1000,10,5.1,0.49,0.7
anchor,balance,crc32,10000,10,6.6,0.64,0.8
anchor,balance,crc32,100000,10,7.8,0.16,0.4
anchor,init-time,crc32,10,10,1300,5.21e+06,2282.54
anchor,init-time,crc32,100,10,5500,1.7365e+08,13177.6
anchor,init-time,crc32,1000,10,1800,1.36e+06,1166.19
anchor,init-time,crc32,10000,10,11400,3.684e+07,6069.6
anchor,init-time,crc32,100000,10,100900,1.76769e+09,42043.9
anchor,lookup-time,crc32,10,10,3400,1.84e+06,1356.47
anchor,lookup-time,crc32,100,10,6100,3.09e+06,1757.84
anchor,lookup-time,crc32,1000,10,30500,2.65e+06,1627.88
anchor,lookup-time,crc32,10000,10,282600,1.264e+07,3555.28
anchor,lookup-time,crc32,100000,10,2.8619e+06,1.09279e+10,104537
anchor,memory-usage,crc32,10,10,100,0,0
anchor,memory-usage,crc32,100,10,100,0,0
anchor,memory-usage,crc32,1000,10,100,0,0
anchor,memory-usage,crc32,10000,10,100,0,0
anchor,memory-usage,crc32,100000,10,100,0,0
anchor,monotonicity,crc32,10,10,0,0,0
anchor,monotonicity,crc32,100,10,0,0,0
anchor,monotonicity,crc32,1000,10,0,0,0
anchor,monotonicity,crc32,10000,10,0,0,0
anchor,monotonicity,crc32,100000,10,0,0,0
anchor,resize-balance,crc32,10,10,2.16,0.1344,0.366606
anchor,resize-balance,crc32,100,10,3.76,0.5184,0.72
anchor,resize-balance,crc32,1000,10,4.64,0.2304,0.48
anchor,resize-balance,crc32,10000,10,5.84,0.2624,0.51225
anchor,resize-balance,crc32,100000,10,6.88,0.2816,0.53066
anchor,resize-time,crc32,10,10,4000,4.2e+06,2049.39
anchor,resize-time,crc32,100,10,3400,6.64e+06,2576.82
anchor,resize-time,crc32,1000,10,6500,2.365e+07,4863.13
anchor,resize-time,crc32,10000,10,9400,8.44e+06,2905.17
anchor,resize-time,crc32,100000,10,85300,5.0381e+08,22445.7
dx,balance,crc32,10,10,2.6,0.44,0.663325
dx,balance,crc32,100,10,3.9,0.49,0.7
dx,balance,crc32,1000,10,5.7,1.01,1.00499
dx,balance,crc32,10000,10,6.9,0.29,0.538516
dx,balance,crc32,100000,10,7.5,0.45,0.67082
dx,init-time,crc32,10,10,1100,3.09e+06,1757.84
dx,init-time,crc32,100,10,900,890000,943.398
dx,init-time,crc32,1000,10,3400,4.04e+06,2009.98
dx,init-time,crc32,10000,10,54400,3.824e+07,6183.85
dx,init-time,crc32,100000,10,520500,1.30252e+10,114128
dx,lookup-time,crc32,10,10,4300,1.281e+07,3579.11
dx,lookup-time,crc32,100,10,8000,600000,774.597
dx,lookup-time,crc32,1000,10,21200,1.96e+06,1400
dx,lookup-time,crc32,10000,10,196200,1.676e+07,4093.9
dx,lookup-time,crc32,100000,10,2.8854e+06,7.26517e+11,852360
dx,memory-usage,crc32,10,10,52,0,0
dx,memory-usage,crc32,100,10,52,0,0
dx,memory-usage,crc32,1000,10,52,0,0
dx,memory-usage,crc32,10000,10,52,0,0
dx,memory-usage,crc32,100000,10,52,0,0
dx,monotonicity,crc32,10,10,0,0,0
dx,monotonicity,crc32,100,10,0,0,0
dx,monotonicity,crc32,1000,10,0,0,0
dx,monotonicity,crc32,10000,10,0,0,0
dx,monotonicity,crc32,100000,10,0,0,0
dx,resize-balance,crc32,10,10,2.8,0.416,0.644981
dx,resize-balance,crc32,100,10,3.44,0.2624,0.51225
dx,resize-balance,crc32,1000,10,4.8,0.256,0.505964
dx,resize-balance,crc32,10000,10,5.6,0.128,0.357771
dx,resize-balance,crc32,100000,10,6.96,0.3904,0.62482
dx,resize-time,crc32,10,10,3100,1.149e+07,3389.69
dx,resize-time,crc32,100,10,4600,4.24e+06,2059.13
dx,resize-time,crc32,1000,10,4900,1.49e+06,1220.66
dx,resize-time,crc32,10000,10,28700,4.81e+06,2193.17
dx,resize-time,crc32,100000,10,264200,6.476e+07,8047.36
jump,balance,crc32,10,10,2.6,0.44,0.663325
jump,balance,crc32,100,10,4.5,0.25,0.5
jump,balance,crc32,1000,10,5.6,0.44,0.663325
jump,balance,crc32,10000,10,6.5,0.25,0.5
jump,balance,crc32,100000,10,7.9,0.49,0.7
jump,init-time,crc32,10,10,700,1.01e+06,1004.99
jump,init-time,crc32,100,10,800,360000,600
jump,init-time,crc32,1000,10,400,440000,663.325
jump,init-time,crc32,10000,10,900,890000,943.398
jump,init-time,crc32,100000,10,1500,5.25e+06,2291.29
jump,lookup-time,crc32,10,10,2700,2.21e+06,1486.61
jump,lookup-time,crc32,100,10,14000,5.7e+07,7549.83
jump,lookup-time,crc32,1000,10,89200,2.96e+06,1720.47
jump,lookup-time,crc32,10000,10,1.7869e+06,3.95021e+11,628507
jump,lookup-time,crc32,100000,10,2.69887e+07,2.50532e+12,1.58282e+06
jump,memory-usage,crc32,10,10,12,0,0
jump,memory-usage,crc32,100,10,12,0,0
jump,memory-usage,crc32,1000,10,12,0,0
jump,memory-usage,crc32,10000,10,12,0,0
jump,memory-usage,crc32,100000,10,12,0,0
jump,monotonicity,crc32,10,10,0,0,0
jump,monotonicity,crc32,100,10,0,0,0
jump,monotonicity,crc32,1000,10,0,0,0
jump,monotonicity,crc32,10000,10,0,0,0
jump,monotonicity,crc32,100000,10,0,0,0
jump,resize-balance,crc32,10,10,2.48,0.4416,0.66453
jump,resize-balance,crc32,100,10,3.36,0.1024,0.32
jump,resize-balance,crc32,1000,10,4.8,0.256,0.505964
jump,resize-balance,crc32,10000,10,5.52,0.1856,0.430813
jump,resize-balance,crc32,100000,10,6.88,0.7936,0.890842
jump,resize-time,crc32,10,10,3400,3.724e+07,6102.46
jump,resize-time,crc32,100,10,1100,1.29e+06,1135.78
jump,resize-time,crc32,1000,10,800,360000,600
jump,resize-time,crc32,10000,10,1700,610000,781.025
