algorithm,benchmark,hash_function,init_nodes,iterations,mean,var,stddev
dx,init-time,crc32,10,10,5.1488e-248,0,0
dx,init-time,crc32,100,10,5.1488e-248,0,0
dx,init-time,crc32,1000,10,5.1488e-248,0,0
dx,init-time,crc32,10000,10,5.1488e-248,0,0
dx,init-time,crc32,100000,10,5.1488e-248,0,0
dx,lookup-time,crc32,10,10,500,52000,228.035
dx,lookup-time,crc32,100,10,392,5396,73.4575
dx,lookup-time,crc32,1000,10,363.7,613.61,24.7712
dx,lookup-time,crc32,10000,10,358.77,193.656,13.916
dx,lookup-time,crc32,100000,10,358.972,5.33328,2.30939
dx,resize-time,crc32,10,10,358.972,5.33328,2.30939
dx,resize-time,crc32,100,10,358.972,5.33328,2.30939
dx,resize-time,crc32,1000,10,358.972,5.33328,2.30939
dx,resize-time,crc32,10000,10,358.972,5.33328,2.30939
dx,resize-time,crc32,100000,10,358.972,5.33328,2.30939
dx,memory-usage,crc32,10,10,358.972,5.33328,2.30939
dx,memory-usage,crc32,100,10,358.972,5.33328,2.30939
dx,memory-usage,crc32,1000,10,358.972,5.33328,2.30939
dx,memory-usage,crc32,10000,10,358.972,5.33328,2.30939
dx,memory-usage,crc32,100000,10,358.972,5.33328,2.30939
dx,balance,crc32,10,10,358.972,5.33328,2.30939
dx,balance,crc32,100,10,358.972,5.33328,2.30939
dx,balance,crc32,1000,10,358.972,5.33328,2.30939
dx,balance,crc32,10000,10,358.972,5.33328,2.30939
dx,balance,crc32,100000,10,358.972,5.33328,2.30939
dx,resize-balance,crc32,10,10,358.972,5.33328,2.30939
dx,resize-balance,crc32,100,10,358.972,5.33328,2.30939
dx,resize-balance,crc32,1000,10,358.972,5.33328,2.30939
dx,resize-balance,crc32,10000,10,358.972,5.33328,2.30939
dx,resize-balance,crc32,100000,10,358.972,5.33328,2.30939
dx,monotonicity,crc32,10,10,358.972,5.33328,2.30939
dx,monotonicity,crc32,100,10,358.972,5.33328,2.30939
dx,monotonicity,crc32,1000,10,358.972,5.33328,2.30939
dx,monotonicity,crc32,10000,10,358.972,5.33328,2.30939
dx,monotonicity,crc32,100000,10,358.972,5.33328,2.30939
