algorithm,benchmark,hash_function,init_nodes,iterations,mean,var,stddev
dx,init-time,crc32,10,10,5.1488e-248,0,0
dx,init-time,crc32,100,10,5.1488e-248,0,0
dx,init-time,crc32,1000,10,5.1488e-248,0,0
dx,init-time,crc32,10000,10,5.1488e-248,0,0
dx,init-time,crc32,100000,10,5.1488e-248,0,0
dx,lookup-time,crc32,10,10,400,20000,141.421
dx,lookup-time,crc32,100,10,424,3564,59.6992
dx,lookup-time,crc32,1000,10,409.5,457.05,21.3787
dx,lookup-time,crc32,10000,10,401.97,111.206,10.5454
dx,lookup-time,crc32,100000,10,408.018,13.2301,3.63732
dx,resize-time,crc32,10,10,408.018,13.2301,3.63732
dx,resize-time,crc32,100,10,408.018,13.2301,3.63732
dx,resize-time,crc32,1000,10,408.018,13.2301,3.63732
dx,resize-time,crc32,10000,10,408.018,13.2301,3.63732
dx,resize-time,crc32,100000,10,408.018,13.2301,3.63732
dx,memory-usage,crc32,10,10,408.018,13.2301,3.63732
dx,memory-usage,crc32,100,10,408.018,13.2301,3.63732
dx,memory-usage,crc32,1000,10,408.018,13.2301,3.63732
dx,memory-usage,crc32,10000,10,408.018,13.2301,3.63732
dx,memory-usage,crc32,100000,10,408.018,13.2301,3.63732
dx,balance,crc32,10,10,408.018,13.2301,3.63732
dx,balance,crc32,100,10,408.018,13.2301,3.63732
dx,balance,crc32,1000,10,408.018,13.2301,3.63732
dx,balance,crc32,10000,10,408.018,13.2301,3.63732
dx,balance,crc32,100000,10,408.018,13.2301,3.63732
dx,resize-balance,crc32,10,10,408.018,13.2301,3.63732
dx,resize-balance,crc32,100,10,408.018,13.2301,3.63732
dx,resize-balance,crc32,1000,10,408.018,13.2301,3.63732
dx,resize-balance,crc32,10000,10,408.018,13.2301,3.63732
dx,resize-balance,crc32,100000,10,408.018,13.2301,3.63732
dx,monotonicity,crc32,10,10,408.018,13.2301,3.63732
dx,monotonicity,crc32,100,10,408.018,13.2301,3.63732
dx,monotonicity,crc32,1000,10,408.018,13.2301,3.63732
dx,monotonicity,crc32,10000,10,408.018,13.2301,3.63732
dx,monotonicity,crc32,100000,10,408.018,13.2301,3.63732
